ozon_id,n_rows,n_answers,n_tasks,n_pages,n_projects,n_pools,active_days,span_days,skip_rate,tasks_per_page_mean,overlap_mean,overlap_std,price_mean,share_gold_tasks,share_rehab_pools,n_gold,gold_acc,gold_acc_std,gold_longest_success_streak,gold_longest_error_streak,gold_recent5_acc,gold_recent10_acc,gold_first5_acc,gold_class_gap,gold_learning_delta,n_regular,reg_agreement_proxy,reg_agreement_std,regular_answer_entropy,regular_answer_mode_share,per_task_sec_median,per_task_sec_mean,per_task_sec_std,fast_task_share,slow_task_share,mean_hour,weekend_share,answer_entropy,answer_mode_share,main_project_share,pct_label_1,answers_per_active_day,answers_per_span_day,gold_share_among_answers
114975209,1,1,1,1,1,1,1,1,0.0,1.0,99.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,23.781835,23.781835,,0.0,0.0,12.0,0.0,-0.0,1.0,1.0,0.0,1.0,1.0,
114978912,2,1,2,2,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,68.364893,68.364893,,0.0,1.0,21.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,
114979261,919,911,919,615,1,133,29,30,0.008705114254624592,2.0663764961915123,2.2763873775843306,0.5752688166682733,65.13662676822634,0.01958650707290533,0.0,18.0,0.7777777777777778,0.42779263194649864,11.0,2.0,0.6,0.7,0.8,0.2222222222222222,-0.10000000000000009,893.0,0.8689809630459127,0.3376102588146856,0.9880037899324362,0.5643896976483762,12.866243666666668,30.03829768852459,56.92740631284836,0.23169398907103825,0.24699453551912567,9.198907103825137,0.3650273224043716,0.9884744205498103,0.5631174533479693,1.0,0.5631174533479693,31.413793103448278,30.366666666666667,0.019758507135016465
114987366,6,5,6,6,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,62.087416,165.0986918,236.60610681679185,0.0,0.8,18.0,0.0,0.9709505944546686,0.6,1.0,0.4,5.0,5.0,
115009261,7,5,7,7,2,2,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,38.455478,40.6665412,22.544955940820856,0.0,0.6,11.0,0.0,0.9709505944546686,0.6,0.6,0.6,5.0,5.0,
115010284,25,25,25,25,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,18.385244,18.73512596,6.1583341726085665,0.0,0.04,17.0,1.0,0.9988455359952018,0.52,1.0,0.52,25.0,25.0,
115010893,48,48,48,48,2,2,2,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,43.405464,54.46843825,38.476022603165454,0.0,0.7083333333333334,13.895833333333334,0.5208333333333334,0.8960382325345574,0.6875,0.5208333333333334,0.6875,24.0,48.0,
115028756,1,0,1,1,1,1,1,1,0.0,1.0,99.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
115042188,6,5,6,6,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,15.514151,15.082148,1.4087468950688053,0.0,0.0,12.0,0.0,0.7219280948873623,0.8,1.0,0.8,5.0,5.0,
115065583,2,1,2,2,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,50.751734,50.751734,,0.0,1.0,7.0,0.0,-0.0,1.0,1.0,0.0,1.0,1.0,
115106459,10,8,10,10,2,2,2,2,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,41.2065485,42.46987025,13.21533561420032,0.0,0.875,10.0,0.0,0.954434002924965,0.625,1.0,0.625,4.0,4.0,
115116778,19,18,19,19,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,15.298855,27.6769625,23.745185927659715,0.05555555555555555,0.2777777777777778,15.0,1.0,0.964078764808229,0.6111111111111112,1.0,0.6111111111111112,18.0,18.0,
115138238,9,9,9,9,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,34.929027,72.21707866666667,92.2168137172236,0.0,0.5555555555555556,8.0,0.0,0.9910760598382222,0.5555555555555556,1.0,0.5555555555555556,9.0,9.0,
115219324,49,49,49,49,2,2,2,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,15.900037000000001,21.10506397916667,14.53203691806325,0.0,0.1875,17.416666666666668,0.6041666666666666,0.9972943816462347,0.5306122448979592,0.5102040816326531,0.5306122448979592,24.5,49.0,
115241141,70,70,70,70,3,3,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,4.841571500000001,13.559211414285715,51.52125427146138,0.5142857142857142,0.05714285714285714,18.514285714285716,1.0,0.9709505944546686,0.6,0.34285714285714286,0.6,70.0,70.0,
